Reggae;60 - 90;
Hip-Hop;80 - 115;
Triphop;90 - 110;

Ambient;80 - 90;
Chillout;90 - 120;
Downtempo;90 - 120;

House;120 - 130;
Deep House;120 - 125;
Tech House;120 - 130;
Progressive House;125 - 130;

Trance;130 - 135;
Techno;120 - 135;

Jungle;160 - 170;
Drum and Bass;160 - 180;
Dubstep;80 - 90;
Trap;140;

Psychedelic Trance;140 - 150;
Full-On (Psytrance);150;
Forest;155;
Dark Psytrance;160 - 180;

Hardstyle;140 - 160;150
Hardcore/Gabber;160 - 200;
Speedcore;250 - 700;
Splittercore;700 - 1000;
